,ItemName,Category,Price,Tax,Date,Day,Time
48,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-24-2021,Sunday,6:27 AM
49,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-22-2021,Friday,3:54 PM
50,McChicken,Value Menu,1.00,0.07,10-21-2021,Thursday,11:02 PM
51,1 Hash Browns,Breakfast,1.00,0.07,10-20-2021,Wednesday,6:39 AM
52,2 Cheeseburgers,Normal,2.58,0.18,10-24-2021,Sunday,3:41 PM
53,Egg McMuffin - Meal,Breakfast,3.99,0.28,10-25-2021,Monday,11:59 AM
54,Premium Chicken Bacon Clubhouse (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-22-2021,Friday,6:07 PM
55,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-25-2021,Monday,1:09 PM
56,Egg White Delight McMuffin,Breakfast,2.79,0.2,10-22-2021,Friday,8:13 AM
57,"Bacon, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-25-2021,Monday,10:43 AM
58,Sausage McGriddles,Breakfast,2.79,0.2,10-25-2021,Monday,1:43 AM
59,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-22-2021,Friday,9:18 AM
60,Double Cheeseburger,Value Menu,1.59,0.11,10-25-2021,Monday,2:52 PM
61,Grilled Onion Cheddar,Value Menu,1.00,0.07,10-20-2021,Wednesday,7:20 PM
62,Bacon McDouble,Value Menu,2.00,0.14,10-26-2021,Tuesday,10:06 PM
63,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-21-2021,Thursday,6:54 AM
64,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-22-2021,Friday,1:15 PM
65,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-23-2021,Saturday,10:37 PM
66,Filet-O-Fish - Meal,Normal,5.49,0.38,10-20-2021,Wednesday,9:36 AM
67,Deluxe Quarter Punder - Meal,Normal,5.79,0.41,10-26-2021,Tuesday,12:00 PM
68,2 McGriddles Cakes,Breakfast,1.00,0.07,10-25-2021,Monday,11:20 AM
69,Double Cheeseburger,Value Menu,1.59,0.11,10-20-2021,Wednesday,10:24 AM
70,Sausage Burrito,Breakfast,1.00,0.07,10-23-2021,Saturday,1:51 PM
71,Medium French Fry,Value Menu,1.59,0.11,10-20-2021,Wednesday,5:50 PM
72,Sausage Biscuit with Egg,Breakfast,2.79,0.2,10-26-2021,Tuesday,10:21 AM
73,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,10-21-2021,Thursday,8:46 AM
74,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-22-2021,Friday,4:05 PM
75,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-23-2021,Saturday,1:39 PM
76,Small French Fry,Value Menu,1.19,0.08,10-25-2021,Monday,9:45 AM
77,Bacon Buffalo Ranch McChicken,Value Menu,2.00,0.14,10-25-2021,Monday,7:30 PM
78,Big Mac - Meal,Normal,5.69,0.4,10-21-2021,Thursday,3:56 PM
79,1 Hash Browns,Breakfast,1.00,0.07,10-22-2021,Friday,7:26 AM
80,2 Cheeseburgers,Normal,2.58,0.18,10-20-2021,Wednesday,6:48 PM
81,Big Mac,Normal,3.99,0.28,10-24-2021,Sunday,8:15 AM
82,Large French Fry,Value Menu,1.79,0.13,10-23-2021,Saturday,10:41 AM
83,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-24-2021,Sunday,4:26 PM
84,Big Mac - Meal,Normal,5.69,0.4,10-26-2021,Tuesday,4:01 PM
85,Bacon McDouble,Value Menu,2.00,0.14,10-22-2021,Friday,3:58 PM
86,Big Mac - Meal,Normal,5.69,0.4,10-24-2021,Sunday,1:00 PM
87,Large French Fry,Value Menu,1.79,0.13,10-26-2021,Tuesday,10:38 AM
88,Southern Style Chicken - Meal,Normal,5.59,0.39,10-22-2021,Friday,6:08 PM
89,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-23-2021,Saturday,8:19 AM
90,Egg McMuffin - Meal,Breakfast,3.99,0.28,10-20-2021,Wednesday,1:20 PM
91,Bacon McDouble,Value Menu,2.00,0.14,10-26-2021,Tuesday,3:26 PM
92,Double Cheeseburger,Value Menu,1.59,0.11,10-25-2021,Monday,4:50 PM
93,Classic Chicken (Grilled or Crispy) - Meal,Normal,5.89,0.41,10-24-2021,Sunday,8:41 AM
94,Egg McMuffin,Breakfast,2.79,0.2,10-26-2021,Tuesday,10:08 AM
95,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-21-2021,Thursday,8:02 PM
96,1 Hash Browns,Breakfast,1.00,0.07,10-21-2021,Thursday,2:14 AM
97,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-22-2021,Friday,4:30 PM
98,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-26-2021,Tuesday,6:27 PM
99,"Sausage, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-24-2021,Sunday,11:17 AM
100,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-22-2021,Friday,12:34 PM
101,Bacon Clubhouse Burger - Meal,Normal,6.19,0.43,10-22-2021,Friday,2:16 PM
102,Bacon McDouble,Value Menu,2.00,0.14,10-25-2021,Monday,1:00 AM
103,Small French Fry,Value Menu,1.19,0.08,10-20-2021,Wednesday,1:41 PM
104,2 Sausage Burritos - Meal,Breakfast,3.79,0.27,10-22-2021,Friday,11:22 AM
105,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-21-2021,Thursday,12:36 PM
106,Big Mac,Normal,3.99,0.28,10-22-2021,Friday,1:24 PM
107,Large French Fry,Value Menu,1.79,0.13,10-21-2021,Thursday,10:27 AM
108,Double Quarter Pounder with Cheese,Normal,4.79,0.34,10-26-2021,Tuesday,11:19 AM
109,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,10-21-2021,Thursday,2:21 PM
110,BBQ Ranch Burger,Value Menu,1.00,0.07,10-22-2021,Friday,6:06 AM
111,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-23-2021,Saturday,11:07 AM
112,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-21-2021,Thursday,11:37 AM
113,Club Chicken (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-22-2021,Friday,11:23 AM
114,Medium French Fry,Value Menu,1.59,0.11,10-24-2021,Sunday,7:43 AM
115,Medium French Fry,Value Menu,1.59,0.11,10-22-2021,Friday,3:07 AM
116,Medium French Fry,Value Menu,1.59,0.11,10-25-2021,Monday,2:40 PM
117,Large French Fry,Value Menu,1.79,0.13,10-20-2021,Wednesday,2:58 PM
118,Big Mac,Normal,3.99,0.28,10-22-2021,Friday,9:11 AM
119,Chicken Snack Wrap (Crispy) (Chipolte BBQ),Value Menu,1.69,0.12,10-24-2021,Sunday,12:36 PM
120,Deluxe Quarter Punder,Normal,4.09,0.29,10-20-2021,Wednesday,9:41 PM
121,Egg McMuffin,Breakfast,2.79,0.2,10-21-2021,Thursday,6:35 AM
122,Bacon McDouble,Value Menu,2.00,0.14,10-24-2021,Sunday,8:57 PM
123,"Sausage, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-26-2021,Tuesday,6:49 AM
124,Double Filet-O-Fish - Meal,Normal,6.39,0.45,10-21-2021,Thursday,11:10 AM
125,Large French Fry,Value Menu,1.79,0.13,10-22-2021,Friday,9:06 AM
126,Egg McMuffin,Breakfast,2.79,0.2,10-24-2021,Sunday,4:37 AM
127,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-23-2021,Saturday,7:09 AM
128,Sausage McMuffin with Egg - Meal,Breakfast,4.19,0.29,10-21-2021,Thursday,2:33 PM
129,Sausage Gravy & Biscuit,Breakfast,2.69,0.19,10-20-2021,Wednesday,10:15 AM
130,Big Mac - Meal,Normal,5.69,0.4,10-26-2021,Tuesday,2:59 PM
131,Medium French Fry,Value Menu,1.59,0.11,10-25-2021,Monday,7:43 PM
132,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-20-2021,Wednesday,12:19 PM
133,McChicken,Value Menu,1.00,0.07,10-20-2021,Wednesday,9:28 AM
134,Small French Fry,Value Menu,1.19,0.08,10-25-2021,Monday,1:51 PM
135,"Bacon, Egg & Cheese Bagel - Meal",Breakfast,4.49,0.31,10-23-2021,Saturday,7:55 AM
136,Sausage Biscuit,Breakfast,1.00,0.07,10-23-2021,Saturday,10:40 AM
137,Premium Chicken Bacon Clubhouse (Grilled or Crispy),Normal,4.49,0.31,10-22-2021,Friday,5:42 PM
138,Chicken Snack Wrap (Grilled) (Ranch),Value Menu,1.69,0.12,10-24-2021,Sunday,12:23 PM
139,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,10-21-2021,Thursday,0:08 AM
140,"Bacon, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-23-2021,Saturday,12:09 PM
141,Small French Fry,Value Menu,1.19,0.08,10-25-2021,Monday,4:19 PM
142,Buffalo Ranch McChicken,Value Menu,1.00,0.07,10-24-2021,Sunday,3:41 PM
143,Chicken McNuggets - 20pc,Normal,5,0.35,10-25-2021,Monday,3:16 PM
144,"Bacon, Egg & Cheese Bagel - Meal",Breakfast,4.49,0.31,10-26-2021,Tuesday,11:16 AM
145,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-24-2021,Sunday,3:51 PM
146,McDouble,Value Menu,1.19,0.08,10-21-2021,Thursday,2:17 PM
147,"Bacon, Egg & Cheese Biscuit",Breakfast,3.19,0.22,10-22-2021,Friday,7:07 AM
148,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-26-2021,Tuesday,7:48 PM
149,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-25-2021,Monday,3:16 PM
150,Double Cheeseburger - Meal,Normal,4.19,0.29,10-23-2021,Saturday,10:47 AM
151,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-26-2021,Tuesday,6:04 PM
152,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-22-2021,Friday,1:12 PM
153,Premium Chicken Bacon Clubhouse (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-23-2021,Saturday,8:52 AM
154,Quarter Pounder with Cheese - Meal,Normal,5.49,0.38,10-26-2021,Tuesday,1:24 PM
155,Club Chicken (Grilled or Crispy),Normal,4.49,0.31,10-25-2021,Monday,11:21 PM
156,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-23-2021,Saturday,2:31 PM
157,Sausage Biscuit with Egg,Breakfast,2.79,0.2,10-22-2021,Friday,6:58 AM
158,Large French Fry,Value Menu,1.79,0.13,10-23-2021,Saturday,1:54 PM
159,Large French Fry,Value Menu,1.79,0.13,10-20-2021,Wednesday,6:44 AM
160,Chicken Ranch BLT (Grilled or Crispy) - Meal,Normal,5.99,0.42,10-25-2021,Monday,3:46 PM
161,Premium Chicken Bacon Clubhouse (Grilled or Crispy),Normal,4.49,0.31,10-23-2021,Saturday,1:45 PM
162,Southern Style Chicken,Normal,3.89,0.27,10-20-2021,Wednesday,2:50 PM
163,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-20-2021,Wednesday,8:53 AM
164,"Sausage, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-22-2021,Friday,1:04 PM
165,BBQ Ranch Burger,Value Menu,1.00,0.07,10-26-2021,Tuesday,5:17 PM
166,Classic Chicken (Grilled or Crispy) - Meal,Normal,5.89,0.41,10-26-2021,Tuesday,8:30 PM
167,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-21-2021,Thursday,7:05 AM
168,"Bacon, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-22-2021,Friday,9:32 AM
169,Bacon Clubhouse Burger,Normal,4.49,0.31,10-23-2021,Saturday,5:13 PM
170,Quarter Pounder with Cheese - Meal,Normal,5.49,0.38,10-21-2021,Thursday,9:38 PM
171,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-21-2021,Thursday,1:24 PM
172,Big Mac,Normal,3.99,0.28,10-22-2021,Friday,1:17 PM
173,Bacon Clubhouse Burger,Normal,4.49,0.31,10-26-2021,Tuesday,12:49 PM
174,Big Mac,Normal,3.99,0.28,10-20-2021,Wednesday,6:36 PM
175,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-26-2021,Tuesday,8:12 PM
176,Double Cheeseburger,Value Menu,1.59,0.11,10-24-2021,Sunday,6:27 PM
177,McChicken,Value Menu,1.00,0.07,10-25-2021,Monday,8:58 AM
178,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-25-2021,Monday,2:13 PM
179,Big Mac - Meal,Normal,5.69,0.4,10-21-2021,Thursday,5:16 PM
180,Bacon McDouble,Value Menu,2.00,0.14,10-25-2021,Monday,8:29 PM
181,Premium Chicken Bacon Clubhouse (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-25-2021,Monday,9:50 AM
182,Small French Fry,Value Menu,1.19,0.08,10-23-2021,Saturday,7:08 AM
183,Sausage Biscuit with Egg,Breakfast,2.79,0.2,10-23-2021,Saturday,6:34 AM
184,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-25-2021,Monday,0:31 AM
185,Sausage Gravy & Biscuit,Breakfast,2.69,0.19,10-25-2021,Monday,0:37 AM
186,Sausage Biscuit with Egg - Meal,Breakfast,3.99,0.28,10-23-2021,Saturday,7:18 PM
187,Double Filet-O-Fish - Meal,Normal,6.39,0.45,10-24-2021,Sunday,5:28 PM
188,Egg McMuffin - Meal,Breakfast,3.99,0.28,10-25-2021,Monday,11:34 AM
189,Buffalo Ranch McChicken,Value Menu,1.00,0.07,10-20-2021,Wednesday,8:02 AM
190,Large French Fry,Value Menu,1.79,0.13,10-23-2021,Saturday,5:22 PM
191,Small French Fry,Value Menu,1.19,0.08,10-21-2021,Thursday,2:19 PM
192,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-21-2021,Thursday,2:55 PM
193,1 Hash Browns,Breakfast,1.00,0.07,10-20-2021,Wednesday,6:17 AM
194,Quarter Pounder with Cheese,Normal,3.79,0.27,10-26-2021,Tuesday,4:47 PM
195,Southern Style Chicken - Meal,Normal,5.59,0.39,10-23-2021,Saturday,3:12 PM
196,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,10-23-2021,Saturday,8:25 PM
197,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-26-2021,Tuesday,5:29 PM
198,Classic Chicken (Grilled or Crispy) - Meal,Normal,5.89,0.41,10-24-2021,Sunday,6:46 PM
199,Big Mac,Normal,3.99,0.28,10-22-2021,Friday,11:56 PM
200,Bacon & Cheese Quarter Pounder - Meal,Normal,5.79,0.41,10-23-2021,Saturday,11:43 PM
201,Big Mac,Normal,3.99,0.28,10-26-2021,Tuesday,3:58 PM
202,Egg McMuffin,Breakfast,2.79,0.2,10-20-2021,Wednesday,2:55 AM
203,Premium Chicken Bacon Clubhouse (Grilled or Crispy),Normal,4.49,0.31,10-26-2021,Tuesday,2:50 PM
204,Club Chicken (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-25-2021,Monday,3:36 PM
205,Large French Fry,Value Menu,1.79,0.13,10-22-2021,Friday,7:42 AM
206,2 McGriddles Cakes,Breakfast,1.00,0.07,10-20-2021,Wednesday,12:27 PM
207,Bacon McDouble,Value Menu,2.00,0.14,10-22-2021,Friday,7:08 PM
208,Sausage Biscuit with Egg,Breakfast,2.79,0.2,10-22-2021,Friday,11:54 AM
209,Double Cheeseburger - Meal,Normal,4.19,0.29,10-24-2021,Sunday,1:03 PM
210,Chicken Snack Wrap (Grilled) (Ranch),Value Menu,1.69,0.12,10-25-2021,Monday,12:01 PM
211,Sausage Gravy & Biscuit - Meal,Breakfast,4.59,0.32,10-23-2021,Saturday,11:57 AM
212,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-23-2021,Saturday,12:41 PM
213,Deluxe Quarter Punder,Normal,4.09,0.29,10-22-2021,Friday,12:53 PM
214,Double Quarter Pounder with Cheese - Meal,Normal,6.49,0.45,10-20-2021,Wednesday,11:21 AM
215,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-21-2021,Thursday,8:41 PM
216,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-23-2021,Saturday,8:17 AM
217,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,10-21-2021,Thursday,12:35 PM
218,Sausage Gravy & Biscuit - Meal,Breakfast,4.59,0.32,10-22-2021,Friday,10:17 AM
219,"Bacon, Egg & Cheese Biscuit",Breakfast,3.19,0.22,10-20-2021,Wednesday,11:59 AM
220,Grilled Onion Cheddar,Value Menu,1.00,0.07,10-23-2021,Saturday,5:18 PM
221,Large French Fry,Value Menu,1.79,0.13,10-20-2021,Wednesday,10:02 AM
222,Big Mac,Normal,3.99,0.28,10-23-2021,Saturday,3:42 PM
223,"Bacon, Egg & Cheese Biscuit - Meal",Breakfast,4.39,0.31,10-21-2021,Thursday,6:04 PM
224,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-26-2021,Tuesday,4:10 PM
225,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-24-2021,Sunday,11:09 PM
226,1 Hash Browns,Breakfast,1.00,0.07,10-24-2021,Sunday,11:06 AM
227,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-25-2021,Monday,12:46 PM
228,BBQ Ranch Burger,Value Menu,1.00,0.07,10-25-2021,Monday,3:31 PM
229,Large French Fry,Value Menu,1.79,0.13,10-23-2021,Saturday,9:24 AM
230,Medium French Fry,Value Menu,1.59,0.11,10-24-2021,Sunday,6:14 PM
231,Large French Fry,Value Menu,1.79,0.13,10-21-2021,Thursday,11:59 PM
232,Sausage Biscuit with Egg - Meal,Breakfast,3.99,0.28,10-23-2021,Saturday,9:23 AM
233,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-26-2021,Tuesday,6:56 PM
234,Big Mac - Meal,Normal,5.69,0.4,10-23-2021,Saturday,4:16 PM
235,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,10-22-2021,Friday,7:58 PM
236,Sausage McMuffin with Egg - Meal,Breakfast,4.19,0.29,10-20-2021,Wednesday,8:50 AM
237,Egg McMuffin,Breakfast,2.79,0.2,10-24-2021,Sunday,11:34 AM
238,Egg McMuffin - Meal,Breakfast,3.99,0.28,10-26-2021,Tuesday,1:47 PM
239,BBQ Ranch Burger,Value Menu,1.00,0.07,10-25-2021,Monday,10:13 AM
240,Grilled Onion Cheddar,Value Menu,1.00,0.07,10-25-2021,Monday,6:55 PM
241,"Bacon, Egg & Cheese Biscuit",Breakfast,3.19,0.22,10-26-2021,Tuesday,6:35 AM
242,Double Cheeseburger,Value Menu,1.59,0.11,10-20-2021,Wednesday,3:44 PM
243,Southern Style Chicken - Meal,Normal,5.59,0.39,10-20-2021,Wednesday,5:30 PM
244,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,10-21-2021,Thursday,11:57 AM
245,Club Chicken (Grilled or Crispy),Normal,4.49,0.31,10-24-2021,Sunday,9:49 PM
246,Sausage Gravy & Biscuit,Breakfast,2.69,0.19,10-22-2021,Friday,8:38 AM
247,Sausage McGriddles - Meal,Breakfast,3.99,0.28,10-26-2021,Tuesday,10:47 AM
248,Small French Fry,Value Menu,1.19,0.08,10-20-2021,Wednesday,2:18 PM
249,Egg White Delight McMuffin,Breakfast,2.79,0.2,10-22-2021,Friday,11:25 AM
250,Double Filet-O-Fish,Normal,4.69,0.33,10-21-2021,Thursday,9:09 AM
251,Double Cheeseburger,Value Menu,1.59,0.11,10-21-2021,Thursday,11:28 AM
252,Big Mac,Normal,3.99,0.28,10-24-2021,Sunday,2:08 PM
253,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-22-2021,Friday,4:09 PM
254,Classic Chicken (Grilled or Crispy) - Meal,Normal,5.89,0.41,10-23-2021,Saturday,10:27 AM
255,Sausage McGriddles - Meal,Breakfast,3.99,0.28,10-20-2021,Wednesday,11:10 AM
256,Deluxe Quarter Punder,Normal,4.09,0.29,10-25-2021,Monday,5:46 PM
257,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-24-2021,Sunday,1:16 PM
258,2 Cheeseburgers,Normal,2.58,0.18,10-22-2021,Friday,5:43 PM
259,Big Mac,Normal,3.99,0.28,10-22-2021,Friday,11:54 PM
260,McDouble,Value Menu,1.19,0.08,10-21-2021,Thursday,6:35 AM
261,Southern Style Chicken - Meal,Normal,5.59,0.39,10-25-2021,Monday,9:31 AM
262,Sausage Biscuit with Egg - Meal,Breakfast,3.99,0.28,10-23-2021,Saturday,8:46 AM
263,Sausage Gravy & Biscuit,Breakfast,2.69,0.19,10-22-2021,Friday,5:48 AM
264,Double Quarter Pounder with Cheese,Normal,4.79,0.34,10-26-2021,Tuesday,3:31 PM
265,Large French Fry,Value Menu,1.79,0.13,10-22-2021,Friday,2:10 PM
266,Sausage Gravy & Biscuit - Meal,Breakfast,4.59,0.32,10-23-2021,Saturday,9:55 AM
267,Chicken McNuggets - 20pc,Normal,5,0.35,10-20-2021,Wednesday,5:51 PM
268,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-22-2021,Friday,3:29 PM
269,Sausage McMuffin with Egg,Breakfast,2.99,0.21,10-26-2021,Tuesday,11:48 AM
270,Double Filet-O-Fish - Meal,Normal,6.39,0.45,10-22-2021,Friday,5:36 PM
271,Sausage Gravy & Biscuit - Meal,Breakfast,4.59,0.32,10-23-2021,Saturday,5:33 PM
272,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,10-21-2021,Thursday,1:40 PM
273,Chicken Snack Wrap (Grilled) (Ranch),Value Menu,1.69,0.12,10-23-2021,Saturday,10:07 AM
274,Southern Style Chicken,Normal,3.89,0.27,10-21-2021,Thursday,7:30 PM
275,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-24-2021,Sunday,12:33 PM
276,Double Cheeseburger,Value Menu,1.59,0.11,10-21-2021,Thursday,4:53 PM
277,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-23-2021,Saturday,3:04 PM
278,Large French Fry,Value Menu,1.79,0.13,10-26-2021,Tuesday,3:22 PM
279,1 Hash Browns,Breakfast,1.00,0.07,10-21-2021,Thursday,9:01 AM
280,Sausage McMuffin with Egg - Meal,Breakfast,4.19,0.29,10-23-2021,Saturday,3:54 AM
281,Chicken Snack Wrap (Crispy) (Chipolte BBQ),Value Menu,1.69,0.12,10-22-2021,Friday,7:37 PM
282,Sausage Biscuit with Egg,Breakfast,2.79,0.2,10-26-2021,Tuesday,9:47 AM
283,"Bacon, Egg & Cheese Biscuit",Breakfast,3.19,0.22,10-25-2021,Monday,11:21 AM
284,Sausage McMuffin,Breakfast,1.00,0.07,10-25-2021,Monday,2:24 AM
