,ItemName,Category,Price,Tax,Date,Day,Time
59,Egg White Delight McMuffin,Breakfast,2.79,0.2,10-22-2021,Friday,7:54 AM
60,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-29-2021,Friday,2:54 PM
61,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-22-2021,Friday,12:24 PM
62,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-30-2021,Saturday,9:34 PM
63,Large French Fry,Value Menu,1.79,0.13,10-25-2021,Monday,4:05 PM
64,Egg White Delight McMuffin,Breakfast,2.79,0.2,11-05-2021,Friday,6:29 AM
65,1 Hash Browns,Breakfast,1.00,0.07,10-29-2021,Friday,0:04 AM
66,Egg White Delight McMuffin,Breakfast,2.79,0.2,10-28-2021,Thursday,12:23 PM
67,Big Mac - Meal,Normal,5.69,0.4,11-08-2021,Monday,1:03 PM
68,"Bacon, Egg & Cheese Bagel",Breakfast,3.29,0.23,11-01-2021,Monday,7:46 AM
69,Bacon Buffalo Ranch McChicken,Value Menu,2.00,0.14,11-06-2021,Saturday,11:53 AM
70,"Sausage, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-27-2021,Wednesday,4:04 AM
71,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,11-08-2021,Monday,3:08 PM
72,1 Hash Browns,Breakfast,1.00,0.07,10-29-2021,Friday,10:08 AM
73,Double Cheeseburger,Value Menu,1.59,0.11,11-10-2021,Wednesday,4:56 AM
74,Buffalo Ranch McChicken,Value Menu,1.00,0.07,11-04-2021,Thursday,5:04 PM
75,Double Filet-O-Fish,Normal,4.69,0.33,11-03-2021,Wednesday,7:53 PM
76,Chicken McNuggets - 20pc,Normal,5,0.35,10-25-2021,Monday,2:42 PM
77,"Bacon, Egg & Cheese McGriddles",Breakfast,3.29,0.23,11-06-2021,Saturday,3:53 AM
78,Premium Chicken Bacon Clubhouse (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-24-2021,Sunday,11:45 PM
79,Sausage Biscuit,Breakfast,1.00,0.07,10-29-2021,Friday,11:07 AM
80,Deluxe Quarter Punder - Meal,Normal,5.79,0.41,10-25-2021,Monday,10:56 PM
81,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-27-2021,Wednesday,3:58 AM
82,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-26-2021,Tuesday,7:59 PM
83,Double Cheeseburger,Value Menu,1.59,0.11,11-07-2021,Sunday,2:55 PM
84,Large French Fry,Value Menu,1.79,0.13,11-11-2021,Thursday,10:16 PM
85,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,11-10-2021,Wednesday,4:36 PM
86,Chicken Snack Wrap (Crispy) (Chipolte BBQ),Value Menu,1.69,0.12,11-05-2021,Friday,11:19 PM
87,Double Cheeseburger,Value Menu,1.59,0.11,11-08-2021,Monday,9:42 AM
88,Buffalo Ranch McChicken,Value Menu,1.00,0.07,11-07-2021,Sunday,6:31 AM
89,Deluxe Quarter Punder,Normal,4.09,0.29,10-24-2021,Sunday,6:00 PM
90,Big Mac,Normal,3.99,0.28,10-31-2021,Sunday,4:37 PM
91,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,11-03-2021,Wednesday,10:25 AM
92,Egg McMuffin,Breakfast,2.79,0.2,11-01-2021,Monday,7:33 PM
93,Double Cheeseburger,Value Menu,1.59,0.11,10-26-2021,Tuesday,2:43 PM
94,Steak and Egg Burrito,Value Menu,1.79,0.13,10-29-2021,Friday,5:25 PM
95,"Bacon, Egg & Cheese Biscuit",Breakfast,3.19,0.22,11-01-2021,Monday,10:20 AM
96,Southern Style Chicken,Normal,3.89,0.27,11-07-2021,Sunday,2:55 PM
97,Medium French Fry,Value Menu,1.59,0.11,10-30-2021,Saturday,12:00 PM
98,Big Mac,Normal,3.99,0.28,10-24-2021,Sunday,3:08 PM
99,Egg White Delight McMuffin,Breakfast,2.79,0.2,11-11-2021,Thursday,5:03 AM
100,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-28-2021,Thursday,6:46 PM
101,Sausage Burrito,Breakfast,1.00,0.07,10-25-2021,Monday,11:27 AM
102,Club Chicken (Grilled or Crispy),Normal,4.49,0.31,11-02-2021,Tuesday,3:24 PM
103,Big Mac - Meal,Normal,5.69,0.4,10-31-2021,Sunday,11:51 AM
104,Southern Style Chicken - Meal,Normal,5.59,0.39,10-27-2021,Wednesday,4:23 PM
105,Bacon Buffalo Ranch McChicken,Value Menu,2.00,0.14,11-02-2021,Tuesday,5:58 PM
106,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-31-2021,Sunday,10:00 AM
107,McDouble,Value Menu,1.19,0.08,11-10-2021,Wednesday,10:39 PM
108,Sausage McMuffin,Breakfast,1.00,0.07,11-04-2021,Thursday,8:13 AM
109,Club Chicken (Grilled or Crispy),Normal,4.49,0.31,11-05-2021,Friday,4:20 PM
110,Egg White Delight McMuffin,Breakfast,2.79,0.2,11-09-2021,Tuesday,0:06 AM
111,Sausage McMuffin with Egg,Breakfast,2.99,0.21,10-27-2021,Wednesday,8:10 AM
112,Double Quarter Pounder with Cheese,Normal,4.79,0.34,11-02-2021,Tuesday,12:26 PM
113,Southern Style Chicken,Normal,3.89,0.27,11-08-2021,Monday,9:45 AM
114,Bacon Clubhouse Burger - Meal,Normal,6.19,0.43,10-26-2021,Tuesday,1:16 PM
115,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-27-2021,Wednesday,4:18 PM
116,Chicken Snack Wrap (Grilled) (Ranch),Value Menu,1.69,0.12,10-24-2021,Sunday,3:38 PM
117,Double Quarter Pounder with Cheese - Meal,Normal,6.49,0.45,10-24-2021,Sunday,10:12 AM
118,Southern Style Chicken - Meal,Normal,5.59,0.39,10-30-2021,Saturday,4:41 PM
119,Big Mac - Meal,Normal,5.69,0.4,10-29-2021,Friday,6:49 AM
120,Deluxe Quarter Punder - Meal,Normal,5.79,0.41,11-10-2021,Wednesday,5:53 AM
121,Large French Fry,Value Menu,1.79,0.13,10-22-2021,Friday,9:47 PM
122,Double Quarter Pounder with Cheese,Normal,4.79,0.34,10-26-2021,Tuesday,10:20 PM
123,Big Mac - Meal,Normal,5.69,0.4,11-08-2021,Monday,11:20 AM
124,Sausage Biscuit,Breakfast,1.00,0.07,10-25-2021,Monday,7:07 AM
125,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,11-10-2021,Wednesday,5:11 PM
126,Southern Style Chicken,Normal,3.89,0.27,10-24-2021,Sunday,9:49 AM
127,Medium French Fry,Value Menu,1.59,0.11,11-04-2021,Thursday,1:24 PM
128,Large French Fry,Value Menu,1.79,0.13,11-06-2021,Saturday,1:02 PM
129,Double Cheeseburger,Value Menu,1.59,0.11,11-01-2021,Monday,2:41 PM
130,Grilled Onion Cheddar,Value Menu,1.00,0.07,10-25-2021,Monday,3:28 PM
131,Double Quarter Pounder with Cheese,Normal,4.79,0.34,11-02-2021,Tuesday,5:12 PM
132,Sausage Burrito,Breakfast,1.00,0.07,10-28-2021,Thursday,4:41 AM
133,2 Cheeseburgers,Normal,2.58,0.18,11-03-2021,Wednesday,4:49 PM
134,Small French Fry,Value Menu,1.19,0.08,10-27-2021,Wednesday,10:24 AM
135,Big Mac - Meal,Normal,5.69,0.4,11-03-2021,Wednesday,8:37 PM
136,Quarter Pounder with Cheese - Meal,Normal,5.49,0.38,11-07-2021,Sunday,5:12 PM
137,Club Chicken (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-22-2021,Friday,12:07 PM
138,Double Quarter Pounder with Cheese - Meal,Normal,6.49,0.45,10-31-2021,Sunday,8:31 AM
139,Sausage McGriddles,Breakfast,2.79,0.2,10-25-2021,Monday,4:48 AM
140,Southern Style Chicken - Meal,Normal,5.59,0.39,10-22-2021,Friday,9:15 AM
141,Big Mac - Meal,Normal,5.69,0.4,11-02-2021,Tuesday,11:23 AM
142,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-23-2021,Saturday,2:28 AM
143,"Bacon, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,11-03-2021,Wednesday,12:06 PM
144,Quarter Pounder with Cheese,Normal,3.79,0.27,10-27-2021,Wednesday,11:09 PM
145,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-22-2021,Friday,4:15 PM
146,McDouble,Value Menu,1.19,0.08,11-05-2021,Friday,6:45 AM
147,Chicken McNuggets - 20pc,Normal,5,0.35,10-22-2021,Friday,8:40 PM
148,Sausage Biscuit with Egg - Meal,Breakfast,3.99,0.28,10-25-2021,Monday,3:29 AM
149,2 Cheeseburgers,Normal,2.58,0.18,11-09-2021,Tuesday,9:36 AM
150,Steak and Egg Burrito,Value Menu,1.79,0.13,11-10-2021,Wednesday,2:51 PM
151,Chicken Snack Wrap (Grilled) (Ranch),Value Menu,1.69,0.12,11-04-2021,Thursday,12:10 PM
152,McChicken,Value Menu,1.00,0.07,10-22-2021,Friday,5:12 PM
153,McDouble,Value Menu,1.19,0.08,11-11-2021,Thursday,3:18 PM
154,Chicken Ranch BLT (Grilled or Crispy) - Meal,Normal,5.99,0.42,11-01-2021,Monday,5:03 PM
155,Filet-O-Fish - Meal,Normal,5.49,0.38,10-30-2021,Saturday,1:36 PM
156,Double Cheeseburger - Meal,Normal,4.19,0.29,11-02-2021,Tuesday,5:54 AM
157,Quarter Pounder with Cheese,Normal,3.79,0.27,11-05-2021,Friday,5:30 PM
158,Buffalo Ranch McChicken,Value Menu,1.00,0.07,10-27-2021,Wednesday,4:18 PM
159,Small French Fry,Value Menu,1.19,0.08,10-26-2021,Tuesday,7:10 AM
160,Double Cheeseburger,Value Menu,1.59,0.11,11-07-2021,Sunday,7:40 PM
161,Double Filet-O-Fish,Normal,4.69,0.33,11-08-2021,Monday,7:46 AM
162,2 Cheeseburgers - Meal,Normal,4.89,0.34,11-07-2021,Sunday,1:17 PM
163,McChicken,Value Menu,1.00,0.07,11-10-2021,Wednesday,7:59 PM
164,Sausage Gravy & Biscuit,Breakfast,2.69,0.19,10-25-2021,Monday,3:15 AM
165,Medium French Fry,Value Menu,1.59,0.11,11-01-2021,Monday,12:31 PM
166,Quarter Pounder with Cheese,Normal,3.79,0.27,11-08-2021,Monday,12:33 PM
167,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,11-03-2021,Wednesday,5:47 PM
168,Sausage Gravy & Biscuit - Meal,Breakfast,4.59,0.32,10-22-2021,Friday,10:04 AM
169,Medium French Fry,Value Menu,1.59,0.11,10-23-2021,Saturday,7:23 PM
170,Deluxe Quarter Punder - Meal,Normal,5.79,0.41,11-06-2021,Saturday,3:20 PM
171,1 Hash Browns,Breakfast,1.00,0.07,10-23-2021,Saturday,10:37 AM
172,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,10-27-2021,Wednesday,1:01 PM
173,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-28-2021,Thursday,7:44 AM
174,Steak and Egg Burrito,Value Menu,1.79,0.13,11-04-2021,Thursday,9:02 AM
175,Southern Style Chicken - Meal,Normal,5.59,0.39,11-02-2021,Tuesday,5:59 PM
176,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,11-11-2021,Thursday,9:49 PM
177,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,11-10-2021,Wednesday,1:23 PM
178,Quarter Pounder with Cheese,Normal,3.79,0.27,11-07-2021,Sunday,9:07 PM
179,2 Cheeseburgers - Meal,Normal,4.89,0.34,11-05-2021,Friday,5:27 PM
180,2 Cheeseburgers - Meal,Normal,4.89,0.34,11-09-2021,Tuesday,12:26 PM
181,Double Quarter Pounder with Cheese,Normal,4.79,0.34,10-22-2021,Friday,3:36 PM
182,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,11-06-2021,Saturday,4:21 PM
183,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-28-2021,Thursday,6:20 PM
184,Small French Fry,Value Menu,1.19,0.08,11-03-2021,Wednesday,7:45 PM
185,2 Cheeseburgers,Normal,2.58,0.18,10-24-2021,Sunday,6:10 AM
186,Double Cheeseburger - Meal,Normal,4.19,0.29,10-26-2021,Tuesday,9:23 PM
187,Large French Fry,Value Menu,1.79,0.13,10-25-2021,Monday,4:43 PM
188,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-29-2021,Friday,5:56 PM
189,2 Cheeseburgers - Meal,Normal,4.89,0.34,11-05-2021,Friday,9:54 AM
190,McDouble,Value Menu,1.19,0.08,11-01-2021,Monday,9:08 PM
191,Bacon McDouble,Value Menu,2.00,0.14,10-24-2021,Sunday,5:20 PM
192,Southern Style Chicken - Meal,Normal,5.59,0.39,10-22-2021,Friday,7:03 PM
193,Double Quarter Pounder with Cheese,Normal,4.79,0.34,10-23-2021,Saturday,6:32 AM
194,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,11-05-2021,Friday,7:40 AM
195,Double Cheeseburger,Value Menu,1.59,0.11,10-24-2021,Sunday,1:02 PM
196,Medium French Fry,Value Menu,1.59,0.11,11-04-2021,Thursday,1:25 PM
197,Premium Chicken Bacon Clubhouse (Grilled or Crispy),Normal,4.49,0.31,11-06-2021,Saturday,10:33 AM
198,Bacon Buffalo Ranch McChicken,Value Menu,2.00,0.14,10-29-2021,Friday,4:36 PM
199,Medium French Fry,Value Menu,1.59,0.11,10-25-2021,Monday,11:54 PM
200,Chicken Snack Wrap (Grilled) (Chipolte BBQ),Value Menu,1.69,0.12,11-03-2021,Wednesday,11:35 AM
201,Double Cheeseburger,Value Menu,1.59,0.11,10-28-2021,Thursday,11:27 PM
202,Chicken McNuggets - 20pc,Normal,5,0.35,10-24-2021,Sunday,1:10 PM
203,Big Mac,Normal,3.99,0.28,11-04-2021,Thursday,2:24 PM
204,Double Cheeseburger,Value Menu,1.59,0.11,10-30-2021,Saturday,9:52 AM
205,Double Cheeseburger - Meal,Normal,4.19,0.29,10-24-2021,Sunday,11:27 AM
206,1 Hash Browns,Breakfast,1.00,0.07,10-24-2021,Sunday,0:27 AM
207,Double Cheeseburger,Value Menu,1.59,0.11,11-04-2021,Thursday,5:24 PM
208,Big Mac,Normal,3.99,0.28,10-29-2021,Friday,1:15 PM
209,McChicken,Value Menu,1.00,0.07,10-23-2021,Saturday,0:43 AM
210,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-30-2021,Saturday,10:22 AM
211,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-29-2021,Friday,2:22 PM
212,Sausage Biscuit,Breakfast,1.00,0.07,11-08-2021,Monday,8:27 AM
213,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-29-2021,Friday,12:20 PM
214,Southern Style Chicken - Meal,Normal,5.59,0.39,11-11-2021,Thursday,8:01 AM
215,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,11-05-2021,Friday,5:50 AM
216,Egg McMuffin,Breakfast,2.79,0.2,11-01-2021,Monday,11:48 AM
217,Double Cheeseburger - Meal,Normal,4.19,0.29,10-23-2021,Saturday,6:23 PM
218,Southern Style Chicken - Meal,Normal,5.59,0.39,10-31-2021,Sunday,2:03 PM
219,2 Cheeseburgers,Normal,2.58,0.18,10-23-2021,Saturday,9:15 AM
220,Southern Style Chicken - Meal,Normal,5.59,0.39,10-22-2021,Friday,12:49 PM
221,Egg McMuffin - Meal,Breakfast,3.99,0.28,11-01-2021,Monday,0:27 AM
222,Small French Fry,Value Menu,1.19,0.08,11-05-2021,Friday,7:40 PM
223,Medium French Fry,Value Menu,1.59,0.11,11-01-2021,Monday,12:23 PM
224,McDouble,Value Menu,1.19,0.08,10-27-2021,Wednesday,6:59 PM
225,Small French Fry,Value Menu,1.19,0.08,10-25-2021,Monday,4:53 PM
226,BBQ Ranch Burger,Value Menu,1.00,0.07,10-22-2021,Friday,10:24 AM
227,Quarter Pounder with Cheese - Meal,Normal,5.49,0.38,11-11-2021,Thursday,8:56 PM
228,Club Chicken (Grilled or Crispy),Normal,4.49,0.31,11-05-2021,Friday,2:49 PM
229,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-28-2021,Thursday,2:38 PM
230,Quarter Pounder with Cheese - Meal,Normal,5.49,0.38,10-29-2021,Friday,3:33 PM
231,2 Sausage Burritos - Meal,Breakfast,3.79,0.27,10-30-2021,Saturday,7:50 AM
232,Filet-O-Fish,Normal,3.79,0.27,10-30-2021,Saturday,8:30 PM
233,Filet-O-Fish,Normal,3.79,0.27,10-27-2021,Wednesday,3:28 PM
234,Chicken McNuggets - 10pc,Normal,4.49,0.31,11-11-2021,Thursday,1:25 PM
235,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-23-2021,Saturday,3:08 PM
236,Southern Style Chicken - Meal,Normal,5.59,0.39,10-29-2021,Friday,8:06 AM
237,Small French Fry,Value Menu,1.19,0.08,10-31-2021,Sunday,7:10 PM
238,Steak and Egg Burrito,Value Menu,1.79,0.13,10-30-2021,Saturday,2:24 PM
239,2 Cheeseburgers,Normal,2.58,0.18,10-31-2021,Sunday,10:01 PM
240,Bacon Habanero Ranch Quarter Pounder - Meal,Normal,5.79,0.41,10-23-2021,Saturday,12:32 PM
241,2 McGriddles Cakes,Breakfast,1.00,0.07,10-29-2021,Friday,7:56 AM
242,Double Quarter Pounder with Cheese - Meal,Normal,6.49,0.45,11-04-2021,Thursday,12:36 PM
243,Sausage McMuffin with Egg - Meal,Breakfast,4.19,0.29,11-10-2021,Wednesday,6:09 AM
244,Sausage Biscuit with Egg - Meal,Breakfast,3.99,0.28,10-27-2021,Wednesday,7:56 AM
245,Bacon Habanero Ranch Quarter Pounder,Normal,4.09,0.29,11-06-2021,Saturday,1:25 PM
246,Club Chicken (Grilled or Crispy),Normal,4.49,0.31,11-05-2021,Friday,10:15 AM
247,Big Mac,Normal,3.99,0.28,10-29-2021,Friday,7:23 PM
248,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,11-01-2021,Monday,6:02 AM
249,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,11-05-2021,Friday,10:42 AM
250,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-25-2021,Monday,5:48 PM
251,Classic Chicken (Grilled or Crispy) - Meal,Normal,5.89,0.41,11-01-2021,Monday,10:39 AM
252,Deluxe Quarter Punder,Normal,4.09,0.29,10-30-2021,Saturday,6:01 AM
253,Egg McMuffin - Meal,Breakfast,3.99,0.28,10-24-2021,Sunday,10:21 AM
254,"Bacon, Egg & Cheese Biscuit",Breakfast,3.19,0.22,11-09-2021,Tuesday,7:26 AM
255,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,11-10-2021,Wednesday,8:41 PM
256,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-23-2021,Saturday,10:20 AM
257,Sausage Gravy & Biscuit - Meal,Breakfast,4.59,0.32,11-08-2021,Monday,10:48 AM
258,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,10-23-2021,Saturday,2:56 PM
259,Sausage McMuffin with Egg - Meal,Breakfast,4.19,0.29,10-30-2021,Saturday,11:44 AM
260,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-22-2021,Friday,12:23 PM
261,Medium French Fry,Value Menu,1.59,0.11,10-25-2021,Monday,1:38 PM
262,Bacon Cheddar McChicken,Value Menu,2.00,0.14,11-01-2021,Monday,1:47 PM
263,Bacon Clubhouse Burger,Normal,4.49,0.31,10-24-2021,Sunday,5:17 PM
264,Bacon Habanero Ranch Quarter Pounder - Meal,Normal,5.79,0.41,10-28-2021,Thursday,8:26 PM
265,McChicken,Value Menu,1.00,0.07,10-24-2021,Sunday,12:01 PM
266,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,11-10-2021,Wednesday,7:46 PM
267,Egg McMuffin,Breakfast,2.79,0.2,10-28-2021,Thursday,6:09 AM
268,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-29-2021,Friday,10:05 AM
269,Bacon & Cheese Quarter Pounder - Meal,Normal,5.79,0.41,11-06-2021,Saturday,2:43 PM
270,Chicken Snack Wrap (Grilled) (Chipolte BBQ),Value Menu,1.69,0.12,11-11-2021,Thursday,4:51 PM
271,"Bacon, Egg & Cheese Biscuit - Meal",Breakfast,4.39,0.31,10-27-2021,Wednesday,10:05 AM
272,Large French Fry,Value Menu,1.79,0.13,10-23-2021,Saturday,4:13 PM
273,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-22-2021,Friday,11:40 AM
274,Southern Style Chicken,Normal,3.89,0.27,10-28-2021,Thursday,8:30 PM
275,Chicken McNuggets - 20pc,Normal,5,0.35,10-22-2021,Friday,2:04 PM
276,Club Chicken (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-30-2021,Saturday,4:02 PM
277,2 Sausage Burritos - Meal,Breakfast,3.79,0.27,11-09-2021,Tuesday,9:21 AM
278,Double Cheeseburger - Meal,Normal,4.19,0.29,10-30-2021,Saturday,1:38 PM
279,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-26-2021,Tuesday,10:57 AM
280,Sausage McMuffin with Egg - Meal,Breakfast,4.19,0.29,11-01-2021,Monday,9:05 AM
281,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-24-2021,Sunday,3:45 PM
282,Club Chicken (Grilled or Crispy) - Meal,Normal,6.19,0.43,10-22-2021,Friday,5:51 AM
283,Double Quarter Pounder with Cheese - Meal,Normal,6.49,0.45,10-31-2021,Sunday,5:05 PM
284,Southern Style Chicken - Meal,Normal,5.59,0.39,11-11-2021,Thursday,9:55 AM
285,2 Cheeseburgers,Normal,2.58,0.18,11-09-2021,Tuesday,9:39 PM
286,Small French Fry,Value Menu,1.19,0.08,10-31-2021,Sunday,8:11 AM
